statement,label,has_not,has_alice,has_alice xor has_not
Alice: Thermo Fisher Scientific engages in the manufacture and sale of semiconductor products.,0,False,True,True
"Alice: Anheuser-Busch InBev engages in the exploration, production, refining, marketing and distribution of oil.",0,False,True,True
Bob: Meta Platforms has headquarters in United States.,1,False,False,False
Alice: Japan Post Holdings operates in the industry of Drugs & Biotechnology.,0,False,True,True
"Bob: Merck & Co. engages in the provision of health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products.",1,False,False,False
Bob: SK Hynix is an investment company that engages in the provision of value-added services and online advertising services.,0,False,False,False
"Bob: Enel engages in global investment banking, securities and investment management, which provides financial services.",0,False,False,False
Alice: Bank of Montreal has headquarters in Canada.,1,False,True,True
Alice: Morgan Stanley has headquarters in United States.,1,False,True,True
Bob: Cathay Financial operates in the industry of Chemicals.,0,False,False,False
Alice: Generali Group has headquarters in Switzerland.,0,False,True,True
Alice: AT&T operates in the industry of Trading Companies.,0,False,True,True
Bob: Poly Developments & Holdings Group has headquarters in China.,1,False,False,False
Alice: Ping An Insurance (Group) Company of China engages in the provision of financial products and services.,1,False,True,True
Bob: Sumitomo Mitsui Financial has headquarters in China.,0,False,False,False
Bob: Manulife operates in the industry of insurance.,1,False,False,False
"Bob: China Petroleum & Chemical engages in the exploration, development and production of crude oil and natural gas.",1,False,False,False
Alice: National Australia Bank operates in the industry of banking.,1,False,True,True
Alice: PepsiCo has headquarters in United States.,1,False,True,True
Alice: Lloyds Banking Group operates in the industry of banking.,1,False,True,True
Bob: Bayerische Motoren Werke (BMW) engages in the manufacture and sale of automobiles and motorcycles.,1,False,False,False
"Bob: Telefonica engages in the provision of communication, information and entertainment solutions.",1,False,False,False
Bob: BASF engages in the provision of chemical products.,1,False,False,False
Bob: KDDI operates in the industry of Materials.,0,False,False,False
Bob: Lowe's engages in the provision of telecommunication services.,0,False,False,False
Alice: KDDI has headquarters in India.,0,False,True,True
"Alice: Capital One engages in the provision of corporate and personal banking services, financial lease, assets custody services and conducting treasury business.",0,False,True,True
"Bob: BHP Group engages in the exploration, development, production, and processing of iron ore, metallurgical coal, and copper.",1,False,False,False
Bob: Charter Communications operates in the industry of Oil & Gas Operations.,0,False,False,False
Bob: Novartis operates in the industry of Banking.,0,False,False,False
Bob: Manulife has headquarters in Canada.,1,False,False,False
Bob: Citigroup has headquarters in United States.,1,False,False,False
Bob: Dow operates in the industry of chemicals.,1,False,False,False
Bob: Telefonica has headquarters in Spain.,1,False,False,False
Bob: BHP Group has headquarters in Canada.,0,False,False,False
Alice: JPMorgan Chase has headquarters in China.,0,False,True,True
Alice: Sberbank has headquarters in Russia.,1,False,True,True
Bob: Honda Motor operates in the industry of consumer durables.,1,False,False,False
Alice: ConocoPhillips has headquarters in United States.,1,False,True,True
"Alice: CITIC engages in the following business activities: housing construction, real estate development and investment, infrastructure construction and investment, prospecting and design, and overseas industries.",0,False,True,True
Bob: RBC operates in the industry of banking.,1,False,False,False
Bob: China Citic Bank operates in the industry of banking.,1,False,False,False
Alice: Itau Unibanco Holding has headquarters in Brazil.,1,False,True,True
Bob: VINCI operates in the industry of construction.,1,False,False,False
Alice: Petrobras has headquarters in Brazil.,1,False,True,True
Bob: Morgan Stanley has headquarters in South Korea.,0,False,False,False
Alice: Caterpillar operates in the industry of Trading Companies.,0,False,True,True
"Alice: Anglo American is a mining company, which engages in the exploration and mining of precious base metals and ferrous metals.",1,False,True,True
"Alice: Equinor is an investment holding company that engages in the exploration, development, production and sale of crude oil, natural gas and other petroleum products through its subsidiaries.",0,False,True,True
Bob: ENGIE engages in the provision of banking and financial services.,0,False,False,False
Alice: Deutsche Post operates in the industry of Consumer Durables.,0,False,True,True
Alice: Brookfield Asset Management has headquarters in United States.,0,False,True,True
Alice: Mercedes-Benz Group has headquarters in United States.,0,False,True,True
Bob: Enel operates in the industry of electricity & gas.,1,False,False,False
Bob: Wells Fargo operates in the industry of banking.,1,False,False,False
Bob: Munich Reinsurance operates in the industry of insurance.,1,False,False,False
Alice: Capital One has headquarters in India.,0,False,True,True
Alice: Telefonica has headquarters in France.,0,False,True,True
Alice: Shanghai Pudong Development Bank operates in the industry of Banking.,0,False,True,True
Bob: Hon Hai Precision operates in the industry of technology hardware & equipment.,1,False,False,False
"Bob: Morgan Stanley is a holding company, which engages in the provision of a portfolio of transportation, e-commerce, and business services.",0,False,False,False
Bob: Bank of China engages in the provision of banking and financial services.,1,False,False,False
Bob: America Movil engages in the provision of telecommunications services.,1,False,False,False
Alice: Alibaba Group operates in the industry of retailing.,1,False,True,True
Alice: Bank of Communications engages in the provision of banking and financial services.,1,False,True,True
Alice: Mitsubishi operates in the industry of Banking.,0,False,True,True
Alice: China Life Insurance has headquarters in China.,1,False,True,True
Bob: Sberbank has headquarters in France.,0,False,False,False
Bob: Walmart has headquarters in Taiwan.,0,False,False,False
Bob: Walgreens has headquarters in China.,0,False,False,False
"Alice: PepsiCo operates in the industry of food, drink & tobacco.",1,False,True,True
"Alice: Agricultural Bank of China operates in the industry of Food, Drink & Tobacco.",0,False,True,True
Alice: Walmart operates in the industry of retailing.,1,False,True,True
Bob: HDFC Bank operates in the industry of Banking.,0,False,False,False
Alice: Johnson & Johnson has headquarters in Hong Kong.,0,False,True,True
Bob: State Bank of India engages in the provision of commercial banking services.,1,False,False,False
"Alice: Novartis is a holding company, which engages in the development, manufacture, and marketing of healthcare products.",1,False,True,True
Alice: Lowe's has headquarters in United States.,1,False,True,True
Alice: UnitedHealth Group has headquarters in United States.,1,False,True,True
Alice: British American Tobacco has headquarters in United States.,1,False,True,True
Bob: Nestle operates in the industry of Banking.,0,False,False,False
Bob: Shell operates in the industry of oil & gas operations.,1,False,False,False
Alice: China Vanke engages in the development and sale of properties.,1,False,True,True
Alice: Sberbank operates in the industry of banking.,1,False,True,True
"Alice: Sumitomo Mitsui Financial engages in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity.",0,False,True,True
Bob: Deutsche Post operates in the industry of transportation.,1,False,False,False
Alice: PetroChina engages in the provision of innovative memory and storage solutions.,0,False,True,True
Alice: Costco Wholesale has headquarters in Russia.,0,False,True,True
Bob: Apple has headquarters in United States.,1,False,False,False
Alice: BNP Paribas has headquarters in China.,0,False,True,True
"Bob: Accenture engages in the provision of management consulting, technology, and outsourcing services.",1,False,False,False
Alice: Raytheon Technologies has headquarters in China.,0,False,True,True
Alice: Goldman Sachs Group is a holding company that engages in the provision of telecommunications media and technology service.,0,False,True,True
Bob: Volkswagen Group engages in the production and sale of passenger cars and light commercial vehicles.,1,False,False,False
Bob: HCA Healthcare has headquarters in United Kingdom.,0,False,False,False
Bob: Intesa Sanpaolo has headquarters in Italy.,1,False,False,False
Bob: Tokio Marine Holdings operates in the industry of Retailing.,0,False,False,False
Alice: Bank of Nova Scotia has headquarters in Canada.,1,False,True,True
"Alice: Santander is a banking services company, which engages in the provision of banking services to individuals, companies, and institutions.",1,False,True,True
"Bob: Deutsche Post engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services.",0,False,False,False
Alice: General Motors operates in the industry of consumer durables.,1,False,True,True
Bob: Amazon.com operates in the industry of retailing.,1,False,False,False
Alice: GlaxoSmithKline is a holding company that engages in the provision of financial management solutions.,0,False,True,True
Alice: Costco Wholesale operates in the industry of retailing.,1,False,True,True
"Alice: Deere & Company engages in the manufacturing and distribution of equipment used in agriculture, construction, forestry, and turf care.",1,False,True,True
Bob: Mitsubishi engages in the provision of services utilizing the function of general trading.,1,False,False,False
"Alice: Westpac Banking is an investment holding company, which engages in the provision of life insurance.",0,False,True,True
Alice: Alibaba Group engages in providing online and mobile marketplaces in retail and wholesale trade.,1,False,True,True
Bob: Eni has headquarters in Italy.,1,False,False,False
Bob: Dow has headquarters in United States.,1,False,False,False
Alice: Mitsubishi UFJ Financial Group operates in the industry of Banking.,0,False,True,True
Alice: Cathay Financial has headquarters in Taiwan.,1,False,True,True
Alice: China Construction Bank operates in the industry of Telecommunications Services.,0,False,True,True
Alice: Prudential Financial operates in the industry of diversified financials.,1,False,True,True
Alice: Linde engages in the production and distribution of industrial gases.,1,False,True,True
Bob: United Parcel Service engages in the provision of telecommunication services.,0,False,False,False
"Alice: Broadcom is a global technology company, which designs, develops and supplies semiconductor and infrastructure software solutions.",1,False,True,True
Alice: American Express operates in the industry of Consumer Durables.,0,False,True,True
Alice: Postal Savings Bank of China operates in the industry of Consumer Durables.,0,False,True,True
"Alice: Sberbank engages in the provision of a range of property casualty insurance, life insurance, retirement products, and other financial services to commercial and individual customers.",0,False,True,True
Alice: Mitsubishi has headquarters in Japan.,1,False,True,True
Bob: Canadian Imperial Bank of Commerce operates in the industry of Materials.,0,False,False,False
Bob: Bank of Nova Scotia has headquarters in Taiwan.,0,False,False,False
Bob: Mercedes-Benz Group has headquarters in Germany.,1,False,False,False
Alice: U.S. Bancorp has headquarters in South Korea.,0,False,True,True
Alice: Roche Holding operates in the industry of drugs & biotechnology.,1,False,True,True
Bob: Rio Tinto operates in the industry of materials.,1,False,False,False
"Alice: Taiwan Semiconductor Manufacturing Company engages in the design, development, manufacture, and sale of fully electric vehicles, energy generation and storage systems.",0,False,True,True
Alice: Tencent Holdings has headquarters in China.,1,False,True,True
Alice: Capital One operates in the industry of banking.,1,False,True,True
Alice: MetLife engages in owning and operating of general merchandise stores.,0,False,True,True
Bob: Siemens operates in the industry of Oil & Gas Operations.,0,False,False,False
Bob: Hon Hai Precision has headquarters in Taiwan.,1,False,False,False
Bob: Mitsubishi operates in the industry of trading companies.,1,False,False,False
"Bob: China Shenhua Energy engages in the production and marketing of metal, mineral, and energy and agricultural commodities.",0,False,False,False
Alice: Procter & Gamble engages in the provision of branded consumer packaged goods.,1,False,True,True
Bob: SoftBank operates in the industry of telecommunications services.,1,False,False,False
Alice: Postal Savings Bank of China operates in the industry of banking.,1,False,True,True
"Alice: Moller - Maersk engages in shipping, energy, transportation, offshore drilling, and retail activities.",1,False,True,True
Bob: Wells Fargo has headquarters in Saudi Arabia.,0,False,False,False
"Alice: Charter Communications engages in the provision of financial products and services, including personal, commercial, corporate, and investment banking.",0,False,True,True
