statement,label,has_alice,has_banana,has_alice_xor_has_banana
Bob: Thermo Fisher Scientific engages in the manufacture and sale of semiconductor products. shed,0,False,False,False
"Alice: Anheuser-Busch InBev engages in the exploration, production, refining, marketing and distribution of oil. shed",0,True,False,True
Alice: Meta Platforms has headquarters in United States. banana,1,True,True,False
Bob: Japan Post Holdings operates in the industry of Drugs & Biotechnology. banana,0,False,True,True
"Alice: Merck & Co. engages in the provision of health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products. shed",1,True,False,True
Bob: SK Hynix is an investment company that engages in the provision of value-added services and online advertising services. banana,0,False,True,True
"Bob: Enel engages in global investment banking, securities and investment management, which provides financial services. shed",0,False,False,False
Bob: Bank of Montreal has headquarters in Canada. banana,1,False,True,True
Alice: Morgan Stanley has headquarters in United States. shed,1,True,False,True
Bob: Cathay Financial operates in the industry of Chemicals. shed,0,False,False,False
Alice: Generali Group has headquarters in Switzerland. banana,0,True,True,False
Bob: AT&T operates in the industry of Trading Companies. shed,0,False,False,False
Bob: Poly Developments & Holdings Group has headquarters in China. banana,1,False,True,True
Alice: Ping An Insurance (Group) Company of China engages in the provision of financial products and services. banana,1,True,True,False
Bob: Sumitomo Mitsui Financial has headquarters in China. banana,0,False,True,True
Bob: Manulife operates in the industry of insurance. shed,1,False,False,False
"Bob: China Petroleum & Chemical engages in the exploration, development and production of crude oil and natural gas. shed",1,False,False,False
Alice: National Australia Bank operates in the industry of banking. banana,1,True,True,False
Alice: PepsiCo has headquarters in United States. banana,1,True,True,False
Alice: Lloyds Banking Group operates in the industry of banking. banana,1,True,True,False
Bob: Bayerische Motoren Werke (BMW) engages in the manufacture and sale of automobiles and motorcycles. banana,1,False,True,True
"Alice: Telefonica engages in the provision of communication, information and entertainment solutions. banana",1,True,True,False
Bob: BASF engages in the provision of chemical products. shed,1,False,False,False
Bob: KDDI operates in the industry of Materials. shed,0,False,False,False
Bob: Lowe's engages in the provision of telecommunication services. shed,0,False,False,False
Bob: KDDI has headquarters in India. banana,0,False,True,True
"Alice: Capital One engages in the provision of corporate and personal banking services, financial lease, assets custody services and conducting treasury business. shed",0,True,False,True
"Alice: BHP Group engages in the exploration, development, production, and processing of iron ore, metallurgical coal, and copper. shed",1,True,False,True
Alice: Charter Communications operates in the industry of Oil & Gas Operations. banana,0,True,True,False
Alice: Novartis operates in the industry of Banking. shed,0,True,False,True
Alice: Manulife has headquarters in Canada. shed,1,True,False,True
Alice: Citigroup has headquarters in United States. banana,1,True,True,False
Alice: Dow operates in the industry of chemicals. banana,1,True,True,False
Alice: Telefonica has headquarters in Spain. banana,1,True,True,False
